C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,GEO_ID,NAME
32972,850,17431,561,16854,571,14685,493,2934,448,11751,567,11414,572,337,146,2169,292,577,100,168,71,158,70,10,15,409,98,15541,472,14547,466,10621,554,693,187,9928,542,9198,559,730,200,3926,571,994,137,115,60,88,45,27,34,879,144,5001600US5103,"Congressional District 3 (116th Congress), Virginia"
30585,1050,16168,612,15345,602,12697,575,629,165,12068,567,11613,568,455,142,2648,346,823,139,207,107,207,107,0,29,616,160,14417,620,13477,579,8504,612,145,90,8359,612,7731,614,628,190,4973,518,940,165,291,116,273,116,18,30,649,152,5001600US5104,"Congressional District 4 (116th Congress), Virginia"
19282,642,10268,504,9684,516,7252,363,129,95,7123,359,6789,360,334,154,2432,502,584,114,144,77,144,77,0,29,440,101,9014,474,8344,479,4963,435,20,33,4943,434,4680,439,263,93,3381,424,670,144,90,49,80,46,10,20,580,139,5001600US5105,"Congressional District 5 (116th Congress), Virginia"
29112,345,15079,293,14393,320,11286,428,73,57,11213,425,10839,449,374,159,3107,395,686,181,197,104,187,102,10,15,489,152,14033,344,13175,323,8763,462,24,31,8739,462,8065,460,674,180,4412,457,858,165,84,40,76,40,8,14,774,161,5001600US5106,"Congressional District 6 (116th Congress), Virginia"
39439,949,20642,574,19726,579,16898,563,178,133,16720,553,16101,557,619,167,2828,364,916,150,241,96,241,96,0,29,675,154,18797,540,17589,539,12359,693,7,10,12352,693,11333,667,1019,278,5230,584,1208,130,256,91,256,91,0,29,952,123,5001600US5107,"Congressional District 7 (116th Congress), Virginia"
112035,1953,57459,1291,54033,1237,49085,1288,1120,291,47965,1287,45969,1266,1996,390,4948,524,3426,264,1428,256,1350,258,78,65,1998,282,54576,1045,49828,969,38545,1009,271,112,38274,1009,36598,1018,1676,369,11283,783,4748,290,1208,245,1208,245,0,29,3540,317,5001600US5108,"Congressional District 8 (116th Congress), Virginia"
11937,491,6527,422,6252,421,3984,326,7,8,3977,326,3684,352,293,155,2268,275,275,102,58,40,35,34,23,21,217,98,5410,373,4922,346,2899,282,11,20,2888,286,2754,297,134,74,2023,304,488,136,161,73,153,73,8,13,327,127,5001600US5109,"Congressional District 9 (116th Congress), Virginia"
79795,1432,40964,930,38903,919,34830,831,223,107,34607,829,33404,829,1203,258,4073,512,2061,219,659,132,648,132,11,17,1402,207,38831,649,36029,616,26676,865,24,26,26652,867,25491,858,1161,290,9353,723,2802,173,612,149,577,135,35,42,2190,231,5001600US5110,"Congressional District 10 (116th Congress), Virginia"
106740,2247,53471,1504,50177,1447,43822,1449,476,144,43346,1448,41670,1490,1676,343,6355,529,3294,307,1420,271,1320,236,100,92,1874,275,53269,1160,48608,1098,36464,978,140,81,36324,980,33709,999,2615,439,12144,985,4661,350,1129,209,1111,212,18,23,3532,374,5001600US5111,"Congressional District 11 (116th Congress), Virginia"
46026,1516,23794,1011,22492,1004,18547,916,45,44,18502,918,17712,869,790,228,3945,466,1302,212,249,134,249,134,0,29,1053,214,22232,821,20617,779,14566,842,15,25,14551,843,13569,851,982,221,6051,564,1615,256,247,123,228,121,19,30,1368,248,5001600US5301,"Congressional District 1 (116th Congress), Washington"
