"GEO_ID","NAME","B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M"
"5001600US1501","Congressional District 1 (116th Congress), Hawaii","377456","1899","24814","1336","17116","1103","14","20","17102","1104","16107","1090","995","218","7698","610","87360","2333","67190","1996","2124","370","65066","1990","62407","1927","2659","375","20170","1069","125191","2110","103495","2029","7077","511","96418","1961","93229","2048","3189","387","21696","864","140091","2203","122444","2186","5446","452","116998","2146","115158","2061","1840","284","17647","841"
"5001600US1702","Congressional District 2 (116th Congress), Illinois","358568","2489","37070","1372","20643","998","0","26","20643","998","16759","932","3884","389","16427","969","102427","2485","72212","2135","58","70","72154","2137","62787","1959","9367","833","30215","1274","134766","1899","107006","1694","147","119","106859","1700","95267","1752","11592","860","27760","1099","84305","2032","72426","2107","16","19","72410","2106","68542","2078","3868","406","11879","699"
"5001600US1704","Congressional District 4 (116th Congress), Illinois","385568","3538","95244","2400","63791","1974","0","26","63791","1974","58886","1913","4905","573","31453","1236","104652","1961","80968","1851","28","34","80940","1850","75447","1808","5493","538","23684","834","86070","1857","71673","1562","65","60","71608","1568","67809","1550","3799","414","14397","893","99602","1924","90670","1827","9","15","90661","1828","88092","1753","2569","340","8932","687"
"5001600US1714","Congressional District 14 (116th Congress), Illinois","388237","2310","22256","1257","16486","1164","0","26","16486","1164","15426","1099","1060","262","5770","567","78731","2325","61154","2216","31","30","61123","2216","58289","2170","2834","375","17577","1049","118615","2093","98353","1957","45","34","98308","1953","94763","1942","3545","448","20262","1234","168635","2991","147288","2848","117","85","147171","2844","143504","2811","3667","458","21347","991"
"5001600US1707","Congressional District 7 (116th Congress), Illinois","408851","3900","46940","1642","23543","1215","0","26","23543","1215","19322","1063","4221","482","23397","1199","85030","2068","57620","1836","45","55","57575","1830","48232","1539","9343","724","27410","1042","93280","2372","73180","2111","45","38","73135","2111","65216","2124","7919","690","20100","1124","183601","3334","162059","3456","117","102","161942","3478","156624","3452","5318","575","21542","1269"
"5001600US1709","Congressional District 9 (116th Congress), Illinois","391823","2691","28284","1517","17192","1141","0","26","17192","1141","15822","1071","1370","287","11092","883","58676","1957","41651","1741","22","39","41629","1736","39040","1659","2589","457","17025","1179","82370","2232","66800","2049","63","56","66737","2049","63408","1955","3329","439","15570","893","222493","2787","191669","2856","29","35","191640","2860","185751","2785","5889","484","30824","1110"
"5001600US1712","Congressional District 12 (116th Congress), Illinois","365067","914","32652","1343","14847","1001","0","26","14847","1001","12507","879","2340","370","17805","831","105743","2341","71493","1824","191","109","71302","1841","65618","1816","5684","597","34250","1230","138772","2104","107110","2029","1023","248","106087","2006","100513","2072","5574","544","31662","948","87900","1877","75455","1697","1536","257","73919","1679","71626","1675","2293","333","12445","688"
"5001600US3906","Congressional District 6 (116th Congress), Ohio","361897","1167","36196","1381","15910","865","0","27","15910","865","13563","763","2347","394","20286","984","149473","2040","101265","1673","44","41","101221","1672","95312","1663","5909","479","48208","1333","113842","1688","85816","1615","49","42","85767","1613","82031","1664","3736","452","28026","973","62386","1710","52431","1655","43","43","52388","1655","51262","1660","1126","197","9955","631"
"5001600US3909","Congressional District 9 (116th Congress), Ohio","373365","2071","42837","1425","23085","1150","0","27","23085","1150","19415","1039","3670","482","19752","874","116528","2118","83667","1811","40","32","83627","1805","76573","1708","7054","543","32861","1056","127175","2071","101513","1988","124","67","101389","1978","95299","1880","6090","534","25662","1101","86825","1807","76000","1722","67","39","75933","1733","73686","1664","2247","297","10825","531"
"5001600US3911","Congressional District 11 (116th Congress), Ohio","357519","1984","40832","1378","19953","1000","0","27","19953","1000","14928","898","5025","480","20879","883","100051","2117","66896","1643","0","27","66896","1643","58059","1597","8837","632","33155","1309","115946","1994","88109","1817","8","15","88101","1817","79967","1614","8134","655","27837","1143","100690","1962","87564","1813","53","46","87511","1807","84489","1851","3022","339","13126","758"
